Reactant1_SMILES,Reactant2_SMILES,Product1_SMILES,Product2_SMILES,INCHI_KEY,SMILES,AG_Rule Systemic,AG_Rule Leaf,MW,logP,exactMolWeight,fractionCSP3,ringCount,Number of aromatic rings,HBD,HBA,Heavy atoms,TPSA,Flexibility,Rotatable Bonds,numHeteroatoms,numSaturatedHeterocycles,numRadicalElectrons,numAromaticHeterocycles,noCount,numAliphaticRings,numValenceElectrons,heavyAtomMolWeight,numSaturatedRings,numAliphaticHeterocycles,nhohCount,SIMILAR,IDENTICAL
CC1(C)OB(c2cc(C(F)(F)F)ccc2Cl)OC1(C)C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(C(F)(F)F)ccc2Cl)cc1C,,DFPPLQPYWNHWFW-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(C(F)(F)F)ccc2Cl)cc1C,0.0,0.0,489.94,5.5,489.1,0.4091,3,2,0,5,32,63.68,6,4,10,1,0,0,5,1,174,466.76,1,1,0,CSDM982151,
OB(O)c1cc(C(F)(F)F)ccc1Cl,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(C(F)(F)F)ccc2Cl)cc1C,,DFPPLQPYWNHWFW-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(C(F)(F)F)ccc2Cl)cc1C,0.0,0.0,489.94,5.5,489.1,0.4091,3,2,0,5,32,63.68,6,4,10,1,0,0,5,1,174,466.76,1,1,0,CSDM982151,
OB(O)c1ccc(OC2CCCC2)cc1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(OC3CCCC3)cc2)cc1C,,FDUAHEQMKDKMEL-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(OC3CCCC3)cc2)cc1C,0.0,0.0,471.62,5.15,471.21,0.5,4,2,0,6,33,72.91,7,6,7,1,0,0,6,2,178,438.36,2,1,0,CSDM979629,
CC1(C)OB(c2ccc(OC3CCCC3)cc2)OC1(C)C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(OC3CCCC3)cc2)cc1C,,FDUAHEQMKDKMEL-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(OC3CCCC3)cc2)cc1C,0.0,0.0,471.62,5.15,471.21,0.5,4,2,0,6,33,72.91,7,6,7,1,0,0,6,2,178,438.36,2,1,0,CSDM979629,
Cn1nccc1-c1cc2c(cc1Cl)COB2O,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(-c3ccnn3C)c(Cl)cc2C)cc1C,,AYVZINKRRIZQDZ-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(-c3ccnn3C)c(Cl)cc2C)cc1C,0.0,0.0,516.06,5.19,515.16,0.3846,4,3,0,7,35,81.5,6,5,9,1,0,1,7,1,186,485.82,1,1,0,,
CC(=O)NCC1CN(C(=O)N2CCC(B3OC(C)(C)C(C)(C)O3)C2)CCO1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(C2CCN(C(=O)N3CCOC(CNC(C)=O)C3)C2)cc1C,,AIEXGAZDOFLKAR-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(C2CCN(C(=O)N3CCOC(CNC(C)=O)C3)C2)cc1C,0.0,0.0,564.71,1.91,564.26,0.6667,4,1,1,11,39,125.56,10,6,12,3,0,0,11,3,216,524.39,3,3,1,,
COc1c(Cl)ccc(B2OCCCO2)c1F,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(Cl)c(OC)c2F)cc1C,,ANYYBNSUEWCHOA-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(Cl)c(OC)c2F)cc1C,0.0,0.8,469.96,4.63,469.11,0.4091,3,2,0,6,31,72.91,6,5,9,1,0,0,6,1,168,444.76,1,1,0,,
COc1c(Cl)ccc(B(O)O)c1F,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(Cl)c(OC)c2F)cc1C,,ANYYBNSUEWCHOA-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(Cl)c(OC)c2F)cc1C,0.0,0.8,469.96,4.63,469.11,0.4091,3,2,0,6,31,72.91,6,5,9,1,0,0,6,1,168,444.76,1,1,0,,
COc1ccc(B(O)O)c(OC)n1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(OC)nc2OC)cc1C,,CZACVYIUQDEUEO-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(OC)nc2OC)cc1C,0.0,0.8,448.54,3.24,448.17,0.4545,3,2,0,8,31,95.03,7,6,9,1,0,1,8,1,168,420.32,1,1,0,,
COc1ccc(B2OC(C)(C)C(C)(C)O2)c(OC)n1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(OC)nc2OC)cc1C,,CZACVYIUQDEUEO-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(OC)nc2OC)cc1C,0.0,0.8,448.54,3.24,448.17,0.4545,3,2,0,8,31,95.03,7,6,9,1,0,1,8,1,168,420.32,1,1,0,,
