SampleReference, Barcode, Solvent, VialPosition
LIB-000067-001-1_PREP,NC02,Chloroform,1
LIB-000067-002-1_PREP,NC02,Chloroform,2
LIB-000067-003-1_PREP,NC02,Chloroform,3
LIB-000067-004-1_PREP,NC02,Chloroform,4
LIB-000067-005-1_PREP,NC02,Chloroform,5
LIB-000067-006-1_PREP,NC02,Chloroform,6
LIB-000067-007-1_PREP,NC02,Chloroform,7
LIB-000067-009-1_PREP,NC02,Chloroform,8
LIB-000067-010-1_PREP,NC02,Chloroform,9
LIB-000067-011-1_PREP,NC02,Chloroform,10
LIB-000067-012-1_PREP,NC02,Chloroform,11
LIB-000067-013-1_PREP,NC02,Chloroform,12
LIB-000067-014-1_PREP,NC02,Chloroform,13
LIB-000067-016-1_PREP,NC02,Chloroform,14
LIB-000067-017-1_PREP,NC02,Chloroform,15
LIB-000067-018-1_PREP,NC02,Chloroform,16
LIB-000067-019-1_PREP,NC02,Chloroform,17
LIB-000067-020-1_PREP,NC02,Chloroform,18
LIB-000067-021-1_PREP,NC02,Chloroform,19
LIB-000067-022-1_PREP,NC02,Chloroform,20
LIB-000067-023-1_PREP,NC02,Chloroform,21
LIB-000067-024-1_PREP,NC02,Chloroform,22
LIB-000067-025-1_PREP,NC02,Chloroform,23
LIB-000067-026-1_PREP,NC02,Chloroform,24
LIB-000067-028-1_PREP,NC02,Chloroform,25
LIB-000067-033-1_PREP,NC02,Chloroform,26
LIB-000067-035-1_PREP,NC02,Chloroform,27
LIB-000067-036-1_PREP,NC02,Chloroform,28
LIB-000067-039-1_PREP,NC02,Chloroform,29
LIB-000067-041-1_PREP,NC02,Chloroform,30
