SampleReference, Barcode, Solvent, NumberOfScans, ChemicalShift, VialPosition
LIB-000067-001-1_PREP,NC02,Chloroform,8,6,1
LIB-000067-002-1_PREP,NC02,Chloroform,8,6,2
LIB-000067-003-1_PREP,NC02,Chloroform,8,6,3
LIB-000067-004-1_PREP,NC02,Chloroform,8,6,4
LIB-000067-005-1_PREP,NC02,Chloroform,8,6,5
LIB-000067-006-1_PREP,NC02,Chloroform,8,6,6
LIB-000067-007-1_PREP,NC02,Chloroform,8,6,7
LIB-000067-009-1_PREP,NC02,Chloroform,8,6,8
LIB-000067-010-1_PREP,NC02,Chloroform,8,6,9
LIB-000067-011-1_PREP,NC02,Chloroform,8,6,10
LIB-000067-012-1_PREP,NC02,Chloroform,8,6,11
LIB-000067-013-1_PREP,NC02,Chloroform,8,6,12
LIB-000067-014-1_PREP,NC02,Chloroform,8,6,13
LIB-000067-016-1_PREP,NC02,Chloroform,8,6,14
LIB-000067-017-1_PREP,NC02,Chloroform,8,6,15
LIB-000067-018-1_PREP,NC02,Chloroform,8,6,16
LIB-000067-019-1_PREP,NC02,Chloroform,8,6,17
LIB-000067-020-1_PREP,NC02,Chloroform,8,6,18
LIB-000067-021-1_PREP,NC02,Chloroform,8,6,19
LIB-000067-022-1_PREP,NC02,Chloroform,8,6,20
LIB-000067-023-1_PREP,NC02,Chloroform,8,6,21
LIB-000067-024-1_PREP,NC02,Chloroform,8,6,22
LIB-000067-025-1_PREP,NC02,Chloroform,8,6,23
LIB-000067-026-1_PREP,NC02,Chloroform,8,6,24
LIB-000067-028-1_PREP,NC02,Chloroform,8,6,25
LIB-000067-033-1_PREP,NC02,Chloroform,8,6,26
LIB-000067-035-1_PREP,NC02,Chloroform,8,6,27
LIB-000067-036-1_PREP,NC02,Chloroform,8,6,28
LIB-000067-039-1_PREP,NC02,Chloroform,8,6,29
LIB-000067-041-1_PREP,NC02,Chloroform,8,6,30
